term,matched_DOID,num matched DOID,code
Wallenberg syndrome,,0,
Wallenberg's syndrome,,0,
Wallenberg-syndrome,,0,
Wallenberg-syndrome-treatment,,0,
Wallenbergs syndrome,,0,
Wallenbergs-syndrome,,0,
Wallenbergs-syndrome-treatment,,0,
Wallenbergssyndrome,,0,
Wallenbergssyndrometreatment,,0,
Wallenbergsyndrome,,0,
Wallenbergsyndrometreatment,,0,
Waller degeneration,,0,
Waller-degeneration,,0,
Wallerdegeneration,,0,
Wallerian degeneration,,0,
Wallerian-degeneration,,0,
Walleriandegeneration,,0,
Zonisamide,,0,
a-fib,atrial fibrillation___DOID_0060224,1,DOID:0060224
abnormal curve of the spine,,0,
abscess breast,,0,
acanthosis,saddan___DOID_0111158,3,DOID:0111158
acanthosis,crouzon syndrome-acanthosis nigricans syndrome___DOID_0111161,3,DOID:0111161
acanthosis,acanthosis nigricans___DOID_3138,3,DOID:3138
acantosis,,0,
achalasia,"alacrima, achalasia, and impaired intellectual development syndrome___DOID_0112321",6,DOID:0112321
achalasia,triple-a syndrome___DOID_0050602,6,DOID:0050602
achalasia,hirschsprung's disease___DOID_10487,6,DOID:10487
achalasia,achalasia microcephaly syndrome___DOID_0050796,6,DOID:0050796
achalasia,achalasia___DOID_9164,6,DOID:9164
achalasia,syndromic x-linked intellectual disability 17___DOID_0060803,6,DOID:0060803
acidaemia,obsolete sulfuraminoacidemia___DOID_9264,2,DOID:9264
acidaemia,maple syrup urine disease___DOID_9269,2,DOID:9269
acidosis,"myopathy, lactic acidosis, and sideroblastic anemia___DOID_0080099",19,DOID:0080099
acidosis,lactic acidosis___DOID_3650,19,DOID:3650
acidosis,obsolete insulin dependent type diabetes mellitus uncontrolled with ketoacidosis___DOID_10626,19,DOID:10626
acidosis,alcoholic ketoacidosis___DOID_0080949,19,DOID:0080949
acidosis,combined oxidative phosphorylation deficiency 10___DOID_0111480,19,DOID:0111480
acidosis,"myopathy, lactic acidosis, and sideroblastic anemia 1___DOID_0111185",19,DOID:0111185
acidosis,metabolic acidosis___DOID_0050758,19,DOID:0050758
acidosis,combined oxidative phosphorylation deficiency 19___DOID_0111476,19,DOID:0111476
acidosis,melas syndrome___DOID_3687,19,DOID:3687
acidosis,autosomal recessive osteopetrosis 3___DOID_0110941,19,DOID:0110941
acidosis,gracile syndrome___DOID_0111455,19,DOID:0111455
acidosis,combined oxidative phosphorylation deficiency 3___DOID_0111486,19,DOID:0111486
acidosis,diabetic ketoacidosis___DOID_1837,19,DOID:1837
acidosis,mitochondrial dna depletion syndrome 9___DOID_0080128,19,DOID:0080128
acidosis,"myopathy, lactic acidosis, and sideroblastic anemia 3___DOID_0111184",19,DOID:0111184
acidosis,combined oxidative phosphorylation deficiency 2___DOID_0111483,19,DOID:0111483
acidosis,renal tubular acidosis___DOID_14219,19,DOID:14219
acidosis,"myopathy, lactic acidosis, and sideroblastic anemia 2___DOID_0111186",19,DOID:0111186
acidosis,combined oxidative phosphorylation deficiency 18___DOID_0111484,19,DOID:0111484
acromegalia,,0,
acromegaly,growth hormone secreting pituitary adenoma 2___DOID_0112007,2,DOID:0112007
acromegaly,acromegaly___DOID_2449,2,DOID:2449
actinomyces,,0,
actinomycosis,obsolete pulmonary actinomycosis___DOID_10902,6,DOID:10902
actinomycosis,obsolete cutaneous actinomycosis___DOID_13077,6,DOID:13077
actinomycosis,obsolete abdominal actinomycosis___DOID_13076,6,DOID:13076
actinomycosis,obsolete cervicofacial actinomycosis___DOID_12633,6,DOID:12633
actinomycosis,actinomycosis___DOID_8478,6,DOID:8478
actinomycosis,obsolete cerebral actinomycosis___DOID_12634,6,DOID:12634
activation disease,,0,
activation syndrome,,0,
activation syndromes,,0,
addison disease,addison's disease___DOID_13774,1,DOID:13774
addison' disease,,0,
addison's disease,addison's disease___DOID_13774,1,DOID:13774
addisons disease,,0,
adenocarcinoma,rete testis adenocarcinoma___DOID_14544,249,DOID:14544
adenocarcinoma,signet ring cell variant cervical mucinous adenocarcinoma___DOID_6101,249,DOID:6101
adenocarcinoma,ampulla of vater clear cell adenocarcinoma___DOID_5308,249,DOID:5308
adenocarcinoma,pancreatic invasive mucinous cystadenocarcinoma___DOID_7236,249,DOID:7236
adenocarcinoma,uterine ligament endometrioid adenocarcinoma___DOID_5829,249,DOID:5829
adenocarcinoma,cervical adenocarcinoma___DOID_3702,249,DOID:3702
adenocarcinoma,ovary adenocarcinoma___DOID_3713,249,DOID:3713
adenocarcinoma,pancreatic non-invasive mucinous cystadenocarcinoma___DOID_7237,249,DOID:7237
adenocarcinoma,ovarian cystadenocarcinoma___DOID_3605,249,DOID:3605
adenocarcinoma,male urethral cancer___DOID_736,249,DOID:736
adenocarcinoma,nonmucinous bronchioloalveolar adenocarcinoma___DOID_0080186,249,DOID:0080186
adenocarcinoma,uterine ligament adenocarcinoma___DOID_3700,249,DOID:3700
adenocarcinoma,maxillary sinus adenocarcinoma___DOID_7684,249,DOID:7684
adenocarcinoma,vulvar clear cell hidradenocarcinoma___DOID_7567,249,DOID:7567
adenocarcinoma,testicular cancer___DOID_2998,249,DOID:2998
adenocarcinoma,aggressive digital papillary adenocarcinoma___DOID_5590,249,DOID:5590
adenocarcinoma,thymus adenocarcinoma___DOID_4923,249,DOID:4923
adenocarcinoma,salivary gland mucinous adenocarcinoma___DOID_0080800,249,DOID:0080800
adenocarcinoma,heart cancer___DOID_117,249,DOID:117
adenocarcinoma,intestinal variant cervical mucinous adenocarcinoma___DOID_8339,249,DOID:8339
adenocarcinoma,invasive ductal carcinoma___DOID_3008,249,DOID:3008
adenocarcinoma,lung occult adenocarcinoma___DOID_7168,249,DOID:7168
adenocarcinoma,cervical serous adenocarcinoma___DOID_5752,249,DOID:5752
adenocarcinoma,anal colloid adenocarcinoma___DOID_3691,249,DOID:3691
adenocarcinoma,lung papillary adenocarcinoma___DOID_5588,249,DOID:5588
adenocarcinoma,barrett's adenocarcinoma___DOID_7941,249,DOID:7941
adenocarcinoma,colon mucinous adenocarcinoma___DOID_3029,249,DOID:3029
adenocarcinoma,trabecular follicular adenocarcinoma___DOID_3964,249,DOID:3964
adenocarcinoma,basophilic adenocarcinoma___DOID_4915,249,DOID:4915
adenocarcinoma,brain cancer___DOID_1319,249,DOID:1319
adenocarcinoma,prostate adenocarcinoma___DOID_2526,249,DOID:2526
adenocarcinoma,acinar cell cystadenocarcinoma___DOID_7729,249,DOID:7729
adenocarcinoma,bile duct clear cell adenocarcinoma___DOID_7032,249,DOID:7032
adenocarcinoma,breast adenocarcinoma___DOID_3458,249,DOID:3458
adenocarcinoma,extrahepatic bile duct small cell adenocarcinoma___DOID_5926,249,DOID:5926
adenocarcinoma,ampulla of vater mucinous adenocarcinoma___DOID_3693,249,DOID:3693
adenocarcinoma,obsolete human papilloma virus related endocervical adenocarcinoma___DOID_7704,249,DOID:7704
adenocarcinoma,fallopian tube papillary adenocarcinoma___DOID_5597,249,DOID:5597
adenocarcinoma,serous cystadenocarcinoma___DOID_3114,249,DOID:3114
adenocarcinoma,ampullary signet ring cell adenocarcinoma___DOID_3501,249,DOID:3501
adenocarcinoma,urethra transitional cell carcinoma___DOID_4013,249,DOID:4013
adenocarcinoma,ovarian clear cell cystadenocarcinoma___DOID_7438,249,DOID:7438
adenocarcinoma,lung acinar adenocarcinoma___DOID_6482,249,DOID:6482
adenocarcinoma,solid adenocarcinoma with mucin production___DOID_0080306,249,DOID:0080306
adenocarcinoma,seminal vesicle adenocarcinoma___DOID_14545,249,DOID:14545
adenocarcinoma,cervical clear cell adenocarcinoma___DOID_5303,249,DOID:5303
adenocarcinoma,merkel cell carcinoma___DOID_3965,249,DOID:3965
adenocarcinoma,adenosquamous carcinoma___DOID_4830,249,DOID:4830
adenocarcinoma,gastric signet ring cell adenocarcinoma___DOID_8025,249,DOID:8025
adenocarcinoma,gastroesophageal junction adenocarcinoma___DOID_4944,249,DOID:4944
adenocarcinoma,obsolete unknown primary adenocarcinoma___DOID_6618,249,DOID:6618
adenocarcinoma,bartholin's gland adenocarcinoma___DOID_6316,249,DOID:6316
adenocarcinoma,bladder colloid adenocarcinoma___DOID_3710,249,DOID:3710
adenocarcinoma,bile duct cystadenocarcinoma___DOID_4075,249,DOID:4075
adenocarcinoma,anus cancer___DOID_14110,249,DOID:14110
adenocarcinoma,lymphoepithelioma-like acinar prostate adenocarcinoma___DOID_7246,249,DOID:7246
adenocarcinoma,ceruminous adenocarcinoma___DOID_6446,249,DOID:6446
adenocarcinoma,cervical mucinous adenocarcinoma___DOID_3701,249,DOID:3701
adenocarcinoma,thyroid gland adenocarcinoma___DOID_0080524,249,DOID:0080524
adenocarcinoma,colon signet ring adenocarcinoma___DOID_3033,249,DOID:3033
adenocarcinoma,ethmoid sinus adenocarcinoma___DOID_2766,249,DOID:2766
adenocarcinoma,ampulla of vater signet ring___ws,249,ws
adenocarcinoma,bladder hepatoid adenocarcinoma___DOID_8097,249,DOID:8097
adenocarcinoma,gastroesophageal adenocarcinoma___DOID_0080375,249,DOID:0080375
adenocarcinoma,bladder mixed adenocarcinoma___DOID_8096,249,DOID:8096
adenocarcinoma,cervical endometrioid adenocarcinoma___DOID_5830,249,DOID:5830
adenocarcinoma,gastric cardia adenocarcinoma___DOID_6271,249,DOID:6271
adenocarcinoma,fallopian tube mucinous adenocarcinoma___DOID_3704,249,DOID:3704
adenocarcinoma,bile duct mucinous adenocarcinoma___DOID_3698,249,DOID:3698
adenocarcinoma,obsolete intestinal adenocarcinoma of the stomach___DOID_8026,249,DOID:8026
adenocarcinoma,obsolete intramucosal adenocarcinoma colon adenoma___DOID_3028,249,DOID:3028
adenocarcinoma,adenocarcinoma___DOID_299,249,DOID:299
adenocarcinoma,mucinous stomach adenocarcinoma___DOID_3716,249,DOID:3716
adenocarcinoma,periampullary adenocarcinoma___DOID_8110,249,DOID:8110
adenocarcinoma,eccrine papillary adenocarcinoma___DOID_5591,249,DOID:5591
adenocarcinoma,small intestine adenocarcinoma___DOID_4906,249,DOID:4906
adenocarcinoma,gallbladder pleomorphic giant cell adenocarcinoma___DOID_7222,249,DOID:7222
adenocarcinoma,obsolete distal 1/3 of common bile duct adenocarcinoma___DOID_8152,249,DOID:8152
adenocarcinoma,adrenal cortex cancer___DOID_660,249,DOID:660
adenocarcinoma,urethra clear cell adenocarcinoma___DOID_5307,249,DOID:5307
adenocarcinoma,bladder signet ring cell adenocarcinoma___DOID_6481,249,DOID:6481
adenocarcinoma,obsolete adenocarcinoma in a polyp___DOID_4898,249,DOID:4898
adenocarcinoma,mucinous lung adenocarcinoma___DOID_0080303,249,DOID:0080303
adenocarcinoma,obsolete adnexal mucinous adenocarcinoma___DOID_3694,249,DOID:3694
adenocarcinoma,mixed mucinous and nonmucinous bronchioloalveolar adenocarcinoma___DOID_0080184,249,DOID:0080184
adenocarcinoma,obsolete bronchogenic lung adenocarcinoma___DOID_3909,249,DOID:3909
adenocarcinoma,uterine ligament serous adenocarcinoma___DOID_5747,249,DOID:5747
adenocarcinoma,bladder clear cell adenocarcinoma___DOID_5306,249,DOID:5306
adenocarcinoma,bladder diffuse clear cell adenocarcinoma___DOID_6210,249,DOID:6210
adenocarcinoma,signet ring lung adenocarcinoma___DOID_0080305,249,DOID:0080305
adenocarcinoma,obsolete intestinal type carcinoma___DOID_4904,249,DOID:4904
adenocarcinoma,lacrimal gland adenocarcinoma___DOID_298,249,DOID:298
adenocarcinoma,papillary thymic adenocarcinoma___DOID_5595,249,DOID:5595
adenocarcinoma,obsolete solid carcinoma of lung with mucus formation___DOID_7268,249,DOID:7268
adenocarcinoma,papillary follicular thyroid adenocarcinoma___DOID_3968,249,DOID:3968
adenocarcinoma,fallopian tube adenocarcinoma___DOID_3706,249,DOID:3706
adenocarcinoma,obsolete recurrent adenocarcinoma of lung___DOID_7002,249,DOID:7002
adenocarcinoma,mucinous cystadenocarcinoma___DOID_3603,249,DOID:3603
adenocarcinoma,apocrine adenocarcinoma___DOID_4933,249,DOID:4933
adenocarcinoma,colon adenocarcinoma___DOID_234,249,DOID:234
adenocarcinoma,obsolete adnexa adenocarcinoma___DOID_3695,249,DOID:3695
adenocarcinoma,adrenal medulla cancer___DOID_5719,249,DOID:5719
adenocarcinoma,gastric adenocarcinoma___DOID_3717,249,DOID:3717
adenocarcinoma,obsolete mixed cell adenocarcinoma___DOID_4900,249,DOID:4900
adenocarcinoma,obsolete extramucosal (perianal) adenocarcinoma___DOID_6919,249,DOID:6919
adenocarcinoma,large intestine adenocarcinoma___DOID_0050913,249,DOID:0050913
adenocarcinoma,obsolete intraductal papillary adenocarcinoma with invasion___DOID_5594,249,DOID:5594
adenocarcinoma,extrahepatic bile duct adenocarcinoma___DOID_3495,249,DOID:3495
adenocarcinoma,rectum mucinous adenocarcinoma___DOID_3709,249,DOID:3709
adenocarcinoma,esophagus adenocarcinoma___DOID_4914,249,DOID:4914
adenocarcinoma,obsolete oxyphilic adenocarcinoma___DOID_4937,249,DOID:4937
adenocarcinoma,colorectal adenocarcinoma___DOID_0050861,249,DOID:0050861
adenocarcinoma,ovary serous adenocarcinoma___DOID_5744,249,DOID:5744
adenocarcinoma,appendix adenocarcinoma___DOID_3608,249,DOID:3608
adenocarcinoma,testicular  adenocarcinoma___WS,249,WS
adenocarcinoma,eccrine adenocarcinoma___DOID_4920,249,DOID:4920
adenocarcinoma,urethra squamous cell carcinoma___DOID_3750,249,DOID:3750
adenocarcinoma,papillary extrahepatic bile duct adenocarcinoma___DOID_6931,249,DOID:6931
adenocarcinoma,gallbladder adenocarcinoma___DOID_3500,249,DOID:3500
adenocarcinoma,large intestine cancer___DOID_5672,249,DOID:5672
adenocarcinoma,clear cell adenocarcinoma___DOID_4468,249,DOID:4468
adenocarcinoma,"endometrial endometrioid adenocarcinoma, secretory variant___DOID_7289",249,DOID:7289
adenocarcinoma,papillary adenocarcinoma___DOID_3112,249,DOID:3112
adenocarcinoma,ovarian adenocarcinoma___WS,249,WS
adenocarcinoma,endocervical type cervical mucinous adenocarcinoma___DOID_8340,249,DOID:8340
adenocarcinoma,vulvar eccrine adenocarcinoma___DOID_6339,249,DOID:6339
adenocarcinoma,anus adenocarcinoma___DOID_3447,249,DOID:3447
adenocarcinoma,anal canal adenocarcinoma___DOID_3692,249,DOID:3692
adenocarcinoma,lung combined type small cell adenocarcinoma___DOID_0050917,249,DOID:0050917
adenocarcinoma,gastric diffuse adenocarcinoma___DOID_6217,249,DOID:6217
adenocarcinoma,epididymis adenocarcinoma___DOID_10368,249,DOID:10368
adenocarcinoma,lung adenocarcinoma___DOID_3910,249,DOID:3910
adenocarcinoma,uterine ligament mucinous adenocarcinoma___DOID_3699,249,DOID:3699
adenocarcinoma,pancreatic cystadenocarcinoma___DOID_4073,249,DOID:4073
adenocarcinoma,fallopian tube endometrioid adenocarcinoma___DOID_5831,249,DOID:5831
adenocarcinoma,breast mucinous cystadenocarcinoma___DOID_3609,249,DOID:3609
adenocarcinoma,obsolete ovarian dermoid cyst with adenocarcinoma___DOID_6327,249,DOID:6327
adenocarcinoma,villoglandular endometrial endometrioid adenocarcinoma___DOID_6777,249,DOID:6777
adenocarcinoma,obsolete metastatic prostatic adenocarcinoma___DOID_3026,249,DOID:3026
adenocarcinoma,urethral verrucous carcinoma___DOID_3749,249,DOID:3749
adenocarcinoma,paranasal sinus cancer___DOID_0050619,249,DOID:0050619
adenocarcinoma,middle ear adenocarcinoma___DOID_4892,249,DOID:4892
adenocarcinoma,ovarian mucinous adenocarcinoma___DOID_3606,249,DOID:3606
adenocarcinoma,prostate cancer___DOID_10283,249,DOID:10283
adenocarcinoma,scirrhous adenocarcinoma___DOID_4024,249,DOID:4024
adenocarcinoma,endometrial clear cell adenocarcinoma___DOID_5299,249,DOID:5299
adenocarcinoma,duodenum adenocarcinoma___DOID_10816,249,DOID:10816
adenocarcinoma,ovarian clear cell adenocarcinoma___DOID_5304,249,DOID:5304
adenocarcinoma,obsolete ampulla of vater intestinal type adenocarcinoma___DOID_6091,249,DOID:6091
adenocarcinoma,adenoid squamous cell carcinoma___DOID_5524,249,DOID:5524
adenocarcinoma,obsolete metastatic adenocarcinoma___DOID_3027,249,DOID:3027
adenocarcinoma,bladder papillary clear cell adenocarcinoma___DOID_8051,249,DOID:8051
adenocarcinoma,peritoneal serous adenocarcinoma___DOID_4901,249,DOID:4901
adenocarcinoma,submucosal invasive colon adenocarcinoma___DOID_3038,249,DOID:3038
adenocarcinoma,mucinous pancreas adenocarcinoma___DOID_0080782,249,DOID:0080782
adenocarcinoma,urethra adenocarcinoma___DOID_4910,249,DOID:4910
adenocarcinoma,lung cancer___DOID_1324,249,DOID:1324
adenocarcinoma,vulvar apocrine adenocarcinoma___DOID_6448,249,DOID:6448
adenocarcinoma,obsolete metastatic endometrial adenocarcinoma___DOID_7245,249,DOID:7245
adenocarcinoma,wolffian duct adenocarcinoma___DOID_5368,249,DOID:5368
adenocarcinoma,endometrial mucinous adenocarcinoma___DOID_3707,249,DOID:3707
adenocarcinoma,rectum adenocarcinoma___DOID_1996,249,DOID:1996
adenocarcinoma,mucinous cystadenocarcinoma of pancreas___DOID_7234,249,DOID:7234
adenocarcinoma,obsolete adenocarcinoma in tubular adenoma___DOID_8222,249,DOID:8222
adenocarcinoma,pancreatic serous cystadenocarcinoma___DOID_5751,249,DOID:5751
adenocarcinoma,intestine cancer___WS,249,WS
adenocarcinoma,pancreatic acinar cell adenocarcinoma___DOID_5742,249,DOID:5742
adenocarcinoma,early invasive cervical adenocarcinoma___DOID_8307,249,DOID:8307
adenocarcinoma,peritoneal serous papillary adenocarcinoma___DOID_6228,249,DOID:6228
adenocarcinoma,adenocarcinoma in situ___DOID_4943,249,DOID:4943
adenocarcinoma,gastric tubular adenocarcinoma___DOID_6595,249,DOID:6595
adenocarcinoma,hepatoid adenocarcinoma___DOID_0060534,249,DOID:0060534
adenocarcinoma,ampulla of vater adenocarcinoma___DOID_3502,249,DOID:3502
adenocarcinoma,lung mucinous cystadenocarcinoma___DOID_0080304,249,DOID:0080304
adenocarcinoma,pancreatic foamy gland adenocarcinoma___DOID_7577,249,DOID:7577
adenocarcinoma,obsolete helicobacter pylori-related gastric adenocarcinoma___DOID_7979,249,DOID:7979
adenocarcinoma,benign vaginal carcinosarcoma___DOID_135,249,DOID:135
adenocarcinoma,cystadenocarcinoma___DOID_3111,249,DOID:3111
adenocarcinoma,obsolete human papillomavirus related adenocarcinoma___DOID_4924,249,DOID:4924
adenocarcinoma,obsolete metastatic pancreatic adenocarcinoma___DOID_7576,249,DOID:7576
adenocarcinoma,gastric papillary adenocarcinoma___DOID_5593,249,DOID:5593
adenocarcinoma,prostate colloid adenocarcinoma___DOID_3703,249,DOID:3703
adenocarcinoma,signet ring cell adenocarcinoma___DOID_3493,249,DOID:3493
adenocarcinoma,prostate signet ring cell adenocarcinoma___DOID_3504,249,DOID:3504
adenocarcinoma,endometrial serous adenocarcinoma___DOID_5750,249,DOID:5750
adenocarcinoma,appendix mucinous cystadenocarcinoma___DOID_3607,249,DOID:3607
adenocarcinoma,vaginal cancer___DOID_119,249,DOID:119
adenocarcinoma,ovarian mucinous cystadenocarcinoma___DOID_3604,249,DOID:3604
adenocarcinoma,papillary serous adenocarcinoma___DOID_2632,249,DOID:2632
adenocarcinoma,vulva adenocarcinoma___DOID_2098,249,DOID:2098
adenocarcinoma,cecum adenocarcinoma___DOID_3039,249,DOID:3039
adenocarcinoma,obsolete adenocarcinoma in adenomatous polyposis coli___DOID_8269,249,DOID:8269
adenocarcinoma,bladder tubulo-cystic clear cell adenocarcinoma___DOID_8050,249,DOID:8050
adenocarcinoma,bronchiolo-alveolar cancer___WS,249,WS
adenocarcinoma,pancreatic ductal adenocarcinoma___DOID_3498,249,DOID:3498
adenocarcinoma,ureter adenocarcinoma___DOID_4938,249,DOID:4938
adenocarcinoma,gallbladder cancer___DOID_3121,249,DOID:3121
adenocarcinoma,endometrial adenocarcinoma___DOID_2870,249,DOID:2870
adenocarcinoma,breast signet ring cell adenocarcinoma___DOID_3503,249,DOID:3503
adenocarcinoma,ovarian serous cystadenocarcinoma___DOID_5746,249,DOID:5746
adenocarcinoma,oxyphilic endometrial endometrioid adenocarcinoma___DOID_6865,249,DOID:6865
adenocarcinoma,bulbomembranous urethral cancer___DOID_8259,249,DOID:8259
adenocarcinoma,endocervical cancer___WS,249,WS
adenocarcinoma,obsolete esophageal adenocarcinoma recurrent___DOID_8366,249,DOID:8366
adenocarcinoma,renal pelvis adenocarcinoma___DOID_4918,249,DOID:4918
adenocarcinoma,adrenal cortical adenocarcinoma___DOID_3959,249,DOID:3959
adenocarcinoma,villous adenocarcinoma___DOID_4917,249,DOID:4917
adenocarcinoma,endocervical adenocarcinoma___DOID_0050940,249,DOID:0050940
adenocarcinoma,bladder adenocarcinoma___DOID_3711,249,DOID:3711
adenocarcinoma,uterine ligament clear cell adenocarcinoma___DOID_5302,249,DOID:5302
adenocarcinoma,parathyroid carcinoma___DOID_1540,249,DOID:1540
adenocarcinoma,rectum signet ring adenocarcinoma___DOID_7707,249,DOID:7707
adenocarcinoma,appendix cancer___DOID_11239,249,DOID:11239
adenocarcinoma,mucinous adenocarcinoma___DOID_3030,249,DOID:3030
adenocarcinoma,jejunal adenocarcinoma___DOID_0050926,249,DOID:0050926
adenocarcinoma,endometrial mixed adenocarcinoma___DOID_7664,249,DOID:7664
adenocarcinoma,obsolete adenocarcinoma in villous adenoma___DOID_8120,249,DOID:8120
adenocarcinoma,pancreatic signet ring cell adenocarcinoma___DOID_3497,249,DOID:3497
adenocarcinoma,fallopian tube clear cell adenocarcinoma___DOID_5301,249,DOID:5301
adenocarcinoma,obsolete disseminated adenocarcinoma___DOID_4912,249,DOID:4912
adenocarcinoma,rete ovarii adenocarcinoma___DOID_4894,249,DOID:4894
adenocarcinoma,anal gland adenocarcinoma___DOID_7531,249,DOID:7531
adenocarcinoma,obsolete superficial spreading adenocarcinoma___DOID_4911,249,DOID:4911
adenocarcinoma,bile duct adenocarcinoma___DOID_4896,249,DOID:4896
adenocarcinoma,multilocular clear cell renal cell carcinoma___DOID_4463,249,DOID:4463
adenocarcinoma,pulmonary adenocarcinoma in situ___DOID_0050870,249,DOID:0050870
adenocarcinoma,bronchiolo-alveolar adenocarcinoma___DOID_4926,249,DOID:4926
adenocarcinoma,pancreatic adenocarcinoma___DOID_4074,249,DOID:4074
adenocarcinoma,adrenal gland cancer___DOID_3953,249,DOID:3953
adenocarcinoma,bladder colonic type adenocarcinoma___DOID_6594,249,DOID:6594
adenocarcinoma,thyroid gland follicular carcinoma___DOID_3962,249,DOID:3962
adenocarcinoma,gallbladder signet ring cell adenocarcinoma___DOID_3499,249,DOID:3499
adenocarcinoma,granular cell carcinoma___DOID_4903,249,DOID:4903
adenocarcinoma,renal cell carcinoma___DOID_4450,249,DOID:4450
adenocarcinoma,tubular adenocarcinoma___DOID_4929,249,DOID:4929
adenocarcinoma,nasal cavity adenocarcinoma___DOID_4930,249,DOID:4930
adenocarcinoma,bladder urachal adenocarcinoma___DOID_7694,249,DOID:7694
adenocarcinoma,obsolete metastatic small intestinal adenocarcinoma___DOID_8229,249,DOID:8229
adenocarcinoma,mucinous bronchioloalveolar adenocarcinoma___DOID_0080185,249,DOID:0080185
adenocarcinoma,fallopian tube serous adenocarcinoma___DOID_5598,249,DOID:5598
adenocarcinoma,larynx cancer___DOID_2596,249,DOID:2596
adenocarcinoma,obsolete papillotubular adenocarcinoma___DOID_6663,249,DOID:6663
adenocarcinoma,papillary cystadenocarcinoma___DOID_3110,249,DOID:3110
adenocarcinoma,chromophobe renal cell carcinoma___DOID_4471,249,DOID:4471
adenocarcinoma,villoglandular variant cervical mucinous adenocarcinoma___DOID_8338,249,DOID:8338
adenocarcinoma,prostatic acinar adenocarcinoma___DOID_3024,249,DOID:3024
adenocarcinoma,mucin-rich endometrial endometrioid adenocarcinoma___DOID_7293,249,DOID:7293
adenocarcinoma,sebaceous adenocarcinoma___DOID_4839,249,DOID:4839
adenocarcinoma,sarcomatoid uterine corpus endometrioid adenocarcinoma___DOID_7436,249,DOID:7436
adenoma,prostatic adenoma___DOID_2883,168,DOID:2883
adenoma,obsolete ductal adenoma___DOID_5397,168,DOID:5397
adenoma,insulinoma___DOID_3892,168,DOID:3892
adenoma,mixed cell adenoma___DOID_5385,168,DOID:5385
adenoma,vaginal tubular adenoma___DOID_6809,168,DOID:6809
adenoma,colorectal adenoma___DOID_0050860,168,DOID:0050860
adenoma,pituitary adenoma 1___DOID_0112009,168,DOID:0112009
adenoma,acth-secreting pituitary adenoma___DOID_7004,168,DOID:7004
adenoma,obsolete borderline malignancy serous cystadenoma___DOID_3916,168,DOID:3916
adenoma,vulvar nodular hidradenoma___DOID_2060,168,DOID:2060
adenoma,pregnancy adenoma___DOID_7539,168,DOID:7539
adenoma,malignant cystadenoma___DOID_60004,168,DOID:60004
adenoma,obsolete ovarian dermoid cyst with sebaceous adenoma___DOID_6577,168,DOID:6577
adenoma,pituitary adenoma___DOID_3829,168,DOID:3829
adenoma,rectum adenoma___DOID_0050915,168,DOID:0050915
adenoma,sebaceous adenoma___DOID_2648,168,DOID:2648
adenoma,breast pericanalicular fibroadenoma___DOID_2639,168,DOID:2639
adenoma,adrenal cortical adenoma___DOID_0050891,168,DOID:0050891
adenoma,obsolete serous cystadenoma___DOID_2631,168,DOID:2631
